Index,Question,Answer,LO,Difficult,Name concept,Supchapter,Page,Paragraph,Instruction,Inbook,Z,S,E
34,"Determine the output of the below Python code fragment? 
var1 = True 
var2 = False 
var3 = False 
if var1 or var2 and var3: 
    print(""True"") 
else: 
    print(""False"") 
  A.FALSE 
  B.None of these
  C.Runtime error 
  D.TRUE
  E.-1
  F.-1",D. True,LO3,Advance,"""Boolean Expression"", ""Logical Operator"", ""Conditional Execution"", ""Variable"", ""print function""","CO3.1, CO3.2, CO3.3, CO2.2, CO1.5","31, 32, 32, 20, 6","""A boolean expression is an expression that is either true or false. The following examples use the operator ==, which compares two operands and produces True if they are equal and False otherwise:"", ""There are three logical operators: and, or, and not. The semantics (meaning) of these operators is similar to their meaning in English. For example,"", ""In order to write useful programs, we almost always need the ability to check conditions and change the behavior of the program accordingly. Conditional statements give us this ability. The simplest form is the if statement:"", ""One of the most powerful features of a programming language is the ability to manipulate variables. A variable is a name that refers to a value."", ""And we have even written our first syntactically correct Python sentence. Our sentence starts with the function print followed by a string of text of our choosing enclosed in single quotes.""","""assigns the boolean value True to the variable var1."", ""assigns the boolean value False to the variable var2."", ""assigns the boolean value False to the variable var3."", starts an if statement that checks if var1 is True or if both var2 and var3 are True."", ""if statement on line 4 is True, it prints the string 'True'."", ""indicates the else block to be executed if the condition in the if statement is False."", ""if statement on line 4 is False, it prints the string 'False'.""","T, T, T, T, T","43,44,44,32,18","109,22,190,131,21","132,38,211,155,61"
53,"x = 10 
print(x > 3 and x < 9) 
  A.TRUE 
  B.FALSE
  C.-1 
  D.-1
  E.-1
  F.-1",B. false,LO3,Medium,"""Boolean Expression"", ""Logical Operator"", ""Variable"", ""print function"", ""comparison Operator""","CO3.1, CO3.2, CO2.2, CO1.5, CO3.1","31, 32, 20, 6, 31","""A boolean expression is an expression that is either true or false. The following examples use the operator ==, which compares two operands and produces True if they are equal and False otherwise:"", ""There are three logical operators: and, or, and not. The semantics (meaning) of these operators is similar to their meaning in English. For example,"", ""One of the most powerful features of a programming language is the ability to manipulate variables. A variable is a name that refers to a value."", ""And we have even written our first syntactically correct Python sentence. Our sentence starts with the function print followed by a string of text of our choosing enclosed in single quotes."", ""The == operator is one of the comparison operators; the others are:""","""assigns the integer value 10 to the variable x."", ""prints the result of the logical expression 'x > 3 and x < 9'."" ","T, T, T, T, T","43,44,32,18,43","110,22,129,22,198","131,45,176,61,252"
59,"How do you start writing an if statement in Python? 
  A.if x > y then: 
  B.if (x > y)
  C. if ""x > y"": 
  D.if x > y:
  E.-1
  F.-1",D. if x > y:,LO3,Easy,"""if statement"", ""comparison Operator""","CO3.3, CO3.1","32, 31","""The boolean expression after the if statement is called the condition. We end the if statement with a colon character (:) and the line(s) after the if statement are indented."", ""The == operator is one of the comparison operators; the others are:""",None,"T, T","44,43","22,110","45,131"
138,"What do we do to a Python statement that is immediately after an if statement to indicate that the statement is to be executed only when the if statement is true? 
  A.Begin the statement with a curly brace { 
  B. Start the statement with a ""#"" character 
  C.Indent the line below the if statement 
  D.Underline all of the conditional code
  E.-1
  F.-1",C. Indent the line below the if statement,LO3,Easy,"""if statement""",CO3.3,32,"""The boolean expression after the if statement is called the condition. We end the if statement with a colon character (:) and the line(s) after the if statement are indented.""",None,T,44,227,276
140,"What is true about the following code segment: 
if x == 5 : 
    print('Is 5') 
    print('Is Still 5') 
    print('Third 5') 
  A. Depending on the value of x, either all three of the print statements will execute or none of the statements will execute 
  B.The string 'Is 5' will always print out regardless of the value for x.
  C.The string 'Is 5' will never print out regardless of the value for x. 
  D.Only two of the three print statements will print out if the value of x is less than zero.
  E.-1
  F.-1","A. Depending on the value of x, either all three of the print statements will execute or none of the statements will execute",LO3,Medium,"""Conditional Execution"", ""Variable"", ""print function"", ""Boolean Expression""","CO3.3, CO2.2, CO1.5, CO3.1","32, 20, 6, 31","""In order to write useful programs, we almost always need the ability to check conditions and change the behavior of the program accordingly. Conditional statements give us this ability. The simplest form is the if statement:"", ""One of the most powerful features of a programming language is the ability to manipulate variables. A variable is a name that refers to a value."", ""And we have even written our first syntactically correct Python sentence. Our sentence starts with the function print followed by a string of text of our choosing enclosed in single quotes."", ""A boolean expression is an expression that is either true or false. The following examples use the operator ==, which compares two operands and produces True if they are equal and False otherwise:""","""starts an if statement. The condition of the if statement is 'x == 5'."", ""If the if statement is true, print the string 'Is 5'."", ""If the if statement is true, print the string 'Is Still 5'."", ""If the if statement is true, print the string 'Third 5'."" ","T, T, T, T","44,32,43,18","192,131,200,21","225,156,248,61"
141,"When you have multiple lines in an if block, how do you indicate the end of the if block? 
  A.You de-indent the next line past the if block to the same level of indent as the original if statement 
  B.You put the colon : character on a line by itself to indicate we are done with the if block
  C.You use a curly brace { after the last line of the if block 
  D.You capitalize the first letter of the line following the end of the if block
  E.-1
  F.-1",A. You de-indent the next line past the if block to the same level of indent as the original if statement,LO3,Easy,"""if statement""",CO3.3,32,"""The boolean expression after the if statement is called the condition. We end the if statement with a colon character (:) and the line(s) after the if statement are indented.""",None,T,44,227,276
142,"You look at the following text: if x == 6 : print('Is 6') print('Is Still 6') print('Third 6') It looks perfect but Python is giving you an 'Indentation Error' on the second print statement. What is the most likely reason? 
  A.Python has reached its limit on the largest Python program that can be run 
  B.Python thinks 'Still' is a mis-spelled word in the string
  C.You have mixed tabs and spaces in the file 
  D. In order to make humans feel inadequate, Python randomly emits 'Indentation Errors' on perfectly good code - after about an hour the error will just go away without any changes to your program
  E.-1
  F.-1",C. You have mixed tabs and spaces in the file,LO3,Medium,"""Conditional Execution"", ""Variable"", ""print function"", ""Indentation"", ""Boolean Expression""","CO3.3, CO2.2, CO1.5, CO3.9, CO3.1","32, 20, 6, 39, 31","""In order to write useful programs, we almost always need the ability to check conditions and change the behavior of the program accordingly. Conditional statements give us this ability. The simplest form is the if statement:"", ""One of the most powerful features of a programming language is the ability to manipulate variables. A variable is a name that refers to a value."", ""And we have even written our first syntactically correct Python sentence. Our sentence starts with the function print followed by a string of text of our choosing enclosed in single quotes."", ""Syntax errors are usually easy to find, but there are a few gotchas. Whitespace errors can be tricky because spaces and tabs are invisible and we are used to
ignoring them.
>>> x = 5
>>> y = 6
File ""<stdin>"", line 1
y = 6
ˆ
IndentationError: unexpected indent. In this example, the problem is that the second line is indented by one space. But the error message points to y, which is misleading. In general, error messages indicate where the problem was discovered, but the actual error might be earlier in the program than where Python noticed it was confused."", ""A boolean expression is an expression that is either true or false. The following examples use the operator ==, which compares two operands and produces True if they are equal and False otherwise:""","""This line starts an if statement. The condition of the if statement is 'x == 6'."", ""If the condition in the if statement is true, this line will print the string 'Is 6'."", ""This line will always print the string 'Is Still 6', regardless of the value of x because it is not indented under the if statement."", ""This line will always print the string 'Third 6', regardless of the value of x because it is not indented under the if statement.""","T, T, T, T, T","44,32,18,51,52,43","190,130,23,224,10,110","227,177,51,283,35,156"
143,"What is the Python reserved word (Tá»« dÃ nh riÃªng) that we use in two-way if tests to indicate the block of code that is to be executed if the logical test is false? 
  A.toggle 
  B.switch
  C.else 
  D.A closing curly brace followed by an open curly brace like this }{
  E.-1
  F.-1",C. else,LO3,Easy,"""Alternative execution""",CO3.4,34,"""A second form of the if statement is alternative execution, in which there are two possibilities and the condition determines which one gets executed. The syntax looks like this:""",None,T,46,114,167
144,"What will the following code print out? 
x = 0 
if x < 2 : 
    print('Small') 
elif x < 10 : 
    print('Medium') 
else : 
    print('LARGE') 
print('All done') 
  A.Small Medium All done 
  B.Small All done
  C.Small Medium 
  D.LARGE All done
  E.-1
  F.-1",B. Small All done,LO3,Medium,"""Variable"", ""Conditional Execution"", ""Boolean Expression"", ""Chained Conditionals"", ""print function""","CO2.2, CO3.3, CO3.1, CO3.5, CO1.5","20, 32, 31, 34, 6","""One of the most powerful features of a programming language is the ability to manipulate variables. A variable is a name that refers to a value."", ""In order to write useful programs, we almost always need the ability to check conditions and change the behavior of the program accordingly. Conditional statements give us this ability. The simplest form is the if statement:"", ""A boolean expression is an expression that is either true or false. The following examples use the operator ==, which compares two operands and produces True if they are equal and False otherwise:"", ""Sometimes there are more than two possibilities and we need more than two branches. One way to express a computation like that is a chained conditional:"", ""And we have even written our first syntactically correct Python sentence. Our sentence starts with the function print followed by a string of text of our choosing enclosed in single quotes.""","""Assigns the integer value 0 to the variable x."", ""Starts an if statement that checks if x is less than 2."", ""If the if statement is True. It prints the string 'Small'."", ""starts an elif statement that checks if x is less than 10 and only checked if the previous if statement is False."", ""if the elif statement is True. It prints the string 'Medium'."", ""starts an else statement. This block is executed if all the previous if and elif statements are False."", ""If all the previous if and elif statements are False, It prints the string 'LARGE'."", ""Always execute and prints the string 'All done'.""","T, T, T, T, T","32,44,43,46,18","130,190,108,227,22","178,225,156,285,60"
145,"For the following code, 
if x < 2 : 
    print('Below 2') 
elif x >= 2 : 
    print('Two or more') 
else : 
    print('Something else') 
What value of 'x' will cause 'Something else' to print out? 
  A.x = -22 
  B.x = -2.0
  C.This code will never print 'Something else' regardless of the value for 'x' 
  D.x = 2.0
  E.-1
  F.-1",C. This code will never print 'Something else' regardless of the value for 'x',LO3,Medium,"""Variable"", ""Conditional Execution"", ""Boolean Expression"", ""Chained Conditionals"", ""print function""","CO2.2, CO3.3, CO3.1, CO3.5, CO1.5","20, 32, 31, 34, 6","""One of the most powerful features of a programming language is the ability to manipulate variables. A variable is a name that refers to a value."", ""In order to write useful programs, we almost always need the ability to check conditions and change the behavior of the program accordingly. Conditional statements give us this ability. The simplest form is the if statement:"", ""A boolean expression is an expression that is either true or false. The following examples use the operator ==, which compares two operands and produces True if they are equal and False otherwise:"", ""Sometimes there are more than two possibilities and we need more than two branches. One way to express a computation like that is a chained conditional:"", ""And we have even written our first syntactically correct Python sentence. Our sentence starts with the function print followed by a string of text of our choosing enclosed in single quotes.""","""Starts an if statement that checks if x is less than 2."", ""If the if statement is True. It prints the string 'Below 2'."", ""Starts an elif statement that checks if x is greater than or equal to 2. This condition is only checked if the previous if statement is False."", ""If the elif statement on line 3 is True. It prints the string 'Two or more'."",  ""Starts an else statement. This block is executed if all the previous if and elif statements are False."", ""If all the previous if and elif statements are False, it prints the string 'Something else'.""","T, T, T, T, T","32,44,43,46,18","130,190,110,226,21","178,227,157,284,61"
